data,produto,categoria,quantidade,preco_unitario,valor_total,regiao,canal_venda
2025-08-09,Caixa de Som JBL,Eletronicos,2,324.25,648.50,Sudeste,Marketplace
2025-08-13,Smart TV 50 polegadas,Eletronicos,1,2187.99,2187.99,Centro-Oeste,Marketplace
2025-08-15,Halteres 10kg Par,Esportes,2,206.48,412.96,Sudeste,Site
2025-08-18,Bola de Futebol,Esportes,5,77.06,385.30,Sul,Loja Fisica
2025-08-21,Fone de Ouvido Bluetooth,Eletronicos,1,126.04,126.04,Centro-Oeste,Site
2025-08-23,Colchonete Yoga,Esportes,10,75.47,754.70,Sudeste,Aplicativo
2025-08-25,Jaqueta Corta Vento,Vestuario,1,201.28,201.28,Norte,Site
2025-08-25,Camiseta Basica Algodao,Vestuario,2,37.03,74.06,Sul,Loja Fisica
2025-08-27,Cortina Blackout,Casa e Decoracao,2,136.67,273.34,Nordeste,Aplicativo
2025-09-02,Smartphone Galaxy A54,Eletronicos,1,2034.49,2034.49,Centro-Oeste,Loja Fisica
2025-09-06,Ração Premium Cachorro 15kg,Pet Shop,4,167.50,670.00,Sul,Aplicativo
2025-09-08,Halteres 10kg Par,Esportes,3,208.16,624.48,Centro-Oeste,Loja Fisica
2025-09-14,Halteres 10kg Par,Esportes,1,199.70,199.70,Sudeste,Loja Fisica
2025-09-17,Tenis Esportivo,Vestuario,1,235.20,235.20,Sudeste,Aplicativo
2025-09-19,Whey Protein 900g,Esportes,6,167.41,1004.46,Sul,Site
2025-09-23,Livro Ficcao Best Seller,Livros,1,49.44,49.44,Norte,Loja Fisica
2025-09-25,Livro Ficcao Best Seller,Livros,4,48.06,192.24,Norte,Loja Fisica
2025-09-25,Jogo de Panelas,Casa e Decoracao,2,347.13,694.26,Norte,Loja Fisica
2025-10-01,Kit Maquiagem Completo,Beleza e Cuidados,2,143.78,287.56,Nordeste,Aplicativo
2025-10-03,Kit Maquiagem Completo,Beleza e Cuidados,4,155.53,622.12,Sul,Loja Fisica
2025-10-08,Tapete Sala 2x3m,Casa e Decoracao,3,233.88,701.64,Centro-Oeste,Loja Fisica
2025-10-09,Sofa 3 Lugares,Casa e Decoracao,2,1853.97,3707.94,Nordeste,Marketplace
2025-10-10,Vestido Casual,Vestuario,3,105.17,315.51,Nordeste,Aplicativo
2025-10-10,Fone de Ouvido Bluetooth,Eletronicos,2,122.76,245.52,Norte,Loja Fisica
2025-10-11,Areia Sanitaria Gato 4kg,Pet Shop,3,42.72,128.16,Sudeste,Marketplace
2025-10-12,Smartphone Galaxy A54,Eletronicos,1,1904.95,1904.95,Sul,Loja Fisica
2025-10-13,Jaqueta Corta Vento,Vestuario,1,202.58,202.58,Sul,Loja Fisica
2025-10-15,Calca Jeans Skinny,Vestuario,3,134.39,403.17,Centro-Oeste,Aplicativo
2025-10-21,Vestido Casual,Vestuario,2,99.41,198.82,Sul,Site
2025-10-24,Colchonete Yoga,Esportes,1,64.75,64.75,Norte,Marketplace
2025-10-24,Colchonete Yoga,Esportes,2,71.63,143.26,Centro-Oeste,Aplicativo
2025-10-26,Jogo de Panelas,Casa e Decoracao,10,342.17,3421.70,Sul,Loja Fisica
2025-10-29,Jaqueta Corta Vento,Vestuario,3,174.93,524.79,Sudeste,Aplicativo
2025-11-02,Fone de Ouvido Bluetooth,Eletronicos,2,127.51,255.02,Centro-Oeste,Marketplace
2025-11-03,Sofa 3 Lugares,Casa e Decoracao,1,1895.54,1895.54,Nordeste,Marketplace
2025-11-07,Bicicleta Aro 29,Esportes,5,1407.66,7038.30,Sul,Marketplace
2025-11-14,Kit Maquiagem Completo,Beleza e Cuidados,5,141.61,708.05,Sul,Aplicativo
2025-11-15,Perfume Importado 100ml,Beleza e Cuidados,2,289.83,579.66,Sudeste,Aplicativo
2025-11-17,Jaqueta Corta Vento,Vestuario,1,183.05,183.05,Nordeste,Aplicativo
2025-11-17,Calca Jeans Skinny,Vestuario,1,125.01,125.01,Sul,Aplicativo
2025-11-19,Bola de Futebol,Esportes,3,75.99,227.97,Centro-Oeste,Loja Fisica
2025-11-22,Brinquedo Pet Interativo,Pet Shop,3,52.52,157.56,Centro-Oeste,Aplicativo
2025-11-22,Ração Premium Cachorro 15kg,Pet Shop,1,179.66,179.66,Nordeste,Loja Fisica
2025-11-24,Smart TV 50 polegadas,Eletronicos,1,2031.88,2031.88,Sul,Aplicativo
2025-11-24,Bicicleta Aro 29,Esportes,1,1526.05,1526.05,Sul,Site
2025-11-25,Sofa 3 Lugares,Casa e Decoracao,2,1780.97,3561.94,Centro-Oeste,Site
2025-11-29,Fone de Ouvido Bluetooth,Eletronicos,3,135.75,407.25,Sudeste,Aplicativo
2025-12-03,Areia Sanitaria Gato 4kg,Pet Shop,2,40.17,80.34,Sul,Marketplace
2025-12-04,Whey Protein 900g,Esportes,1,171.33,171.33,Norte,Loja Fisica
2025-12-04,Cortina Blackout,Casa e Decoracao,2,126.87,253.74,Sudeste,Site
2025-12-06,Areia Sanitaria Gato 4kg,Pet Shop,5,37.50,187.50,Norte,Marketplace
2025-12-06,Bola de Futebol,Esportes,2,78.23,156.46,Nordeste,Loja Fisica
2025-12-08,Ração Premium Cachorro 15kg,Pet Shop,6,181.47,1088.82,Sudeste,Aplicativo
2025-12-08,Cortina Blackout,Casa e Decoracao,3,126.29,378.87,Norte,Aplicativo
2025-12-08,Bicicleta Aro 29,Esportes,2,1616.99,3233.98,Centro-Oeste,Loja Fisica
2025-12-09,Smart TV 50 polegadas,Eletronicos,1,2221.51,2221.51,Nordeste,Marketplace
2025-12-10,Livro Ficcao Best Seller,Livros,5,48.89,244.45,Centro-Oeste,Site
2025-12-11,Vestido Casual,Vestuario,1,95.50,95.50,Sudeste,Site
2025-12-11,Ração Premium Cachorro 15kg,Pet Shop,1,173.27,173.27,Sul,Loja Fisica
2025-12-12,Areia Sanitaria Gato 4kg,Pet Shop,1,38.21,38.21,Norte,Aplicativo
2025-12-17,Sofa 3 Lugares,Casa e Decoracao,4,2003.17,8012.68,Sul,Site
2025-12-18,Jaqueta Corta Vento,Vestuario,4,202.78,811.12,Norte,Aplicativo
2025-12-20,Brinquedo Pet Interativo,Pet Shop,1,47.10,47.10,Nordeste,Aplicativo
2025-12-22,Whey Protein 900g,Esportes,6,154.48,926.88,Norte,Site
2025-12-23,Perfume Importado 100ml,Beleza e Cuidados,3,280.70,842.10,Sudeste,Site
2025-12-24,Caixa de Som JBL,Eletronicos,4,357.62,1430.48,Sudeste,Site
2025-12-27,Fone de Ouvido Bluetooth,Eletronicos,1,120.46,120.46,Nordeste,Site
